crack_id, arr_index, theta, x, y, z, num_xtal, grain_id_1, phi1_1, Phi_1, phi2_1, weight_1, grain_id_2, phi1_2, Phi_2, phi2_2, weight_2, grain_id_3, phi1_3, Phi_3, phi2_3, weight_3, grain_id_4, phi1_4, Phi_4, phi2_4, weight_4, grain_id_5, phi1_5, Phi_5, phi2_5, weight_5, grain_id_6, phi1_6, Phi_6, phi2_6, weight_6, grain_id_7, phi1_7, Phi_7, phi2_7, weight_7, grain_id_8, phi1_8, Phi_8, phi2_8, weight_8, grain_id_9, phi1_9, Phi_9, phi2_9, weight_9, grain_id_10, phi1_10, Phi_10, phi2_10, weight_10, mis_1to2, mis_1to3, mis_1to4, mis_1to5, mis_1to6, mis_1to7, mis_1to8, mis_1to9, mis_1to10, mis_2to3, mis_2to4, mis_2to5, mis_2to6, mis_2to7, mis_2to8, mis_2to9, mis_2to10, mis_3to4, mis_3to5, mis_3to6, mis_3to7, mis_3to8, mis_3to9, mis_3to10, mis_4to5, mis_4to6, mis_4to7, mis_4to8, mis_4to9, mis_4to10, mis_5to6, mis_5to7, mis_5to8, mis_5to9, mis_5to10, mis_6to7, mis_6to8, mis_6to9, mis_6to10, mis_7to8, mis_7to9, mis_7to10, mis_8to9, mis_8to10, mis_9to10, dadN2D, dadN3Dline, dadNpath, tf_1, tf_2, tf_3, tf_4, tf_5, tf_6, tf_7, tf_8, tf_9, tf_10, tf_1to2, tf_1to3, tf_1to4, tf_1to5, tf_1to6, tf_1to7, tf_1to8, tf_1to9, tf_1to10, tf_2to3, tf_2to4, tf_2to5, tf_2to6, tf_2to7, tf_2to8, tf_2to9, tf_2to10, tf_3to4, tf_3to5, tf_3to6, tf_3to7, tf_3to8, tf_3to9, tf_3to10, tf_4to5, tf_4to6, tf_4to7, tf_4to8, tf_4to9, tf_4to10, tf_5to6, tf_5to7, tf_5to8, tf_5to9, tf_5to10, tf_6to7, tf_6to8, tf_6to9, tf_6to10, tf_7to8, tf_7to9, tf_7to10, tf_8to9, tf_8to10, tf_9to10, a, b, c, d, angle_gb, dist_gb, signed_dist_gb
1,0,0.0,0.0,336.0,306.0,2,260,0.612143,0.79839,5.262499,0.576108,288,5.003108,0.423611,1.146995,0.423892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.48986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001257,0.00126,0.001286,3.444725,2.638085,,,,,,,,,0.80664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.681465,-0.727664,0.078175,214.173501,0.755887,6.400051,-6.400051
1,13,2.640769,29.059866,425.089783,305.917358,8,257,3.191666,0.588906,2.852357,0.362625,393,3.674895,0.427056,3.104679,0.272525,288,5.003108,0.423611,1.146995,0.083426,260,0.612143,0.79839,5.262499,0.077864,289,0.583617,0.049955,5.168513,0.07119,286,4.753474,0.293662,1.683838,0.062291,540,3.38559,3.765373,5.859594,0.050056,337,3.406359,0.574217,3.628417,0.020022,,,,,,,,,,,41.936543,45.298031,54.363176,39.609155,40.863344,40.540449,,,,50.271209,39.990435,41.223331,31.508081,18.322525,19.854846,,,43.48986,,19.478905,55.800525,51.271982,,,43.422117,54.654606,,,,,43.554355,,,,,49.473177,,,,5.452094,,,,,,0.001532,0.001535,0.00154,3.389895,2.806577,2.638085,3.444725,2.440328,2.546678,3.380761,3.234572,,,0.583318,0.751809,0.054831,0.949566,0.843217,0.009134,,,,0.168491,0.638149,0.366248,0.259899,0.574184,0.427995,,,0.80664,,0.091408,0.742676,0.596487,,,1.004397,0.898048,,,,,0.106349,,,,,0.834083,,,,0.146189,,,,,,0.652305,-0.659341,0.373856,146.890882,1.301894,0.063305,-0.063305
1,20,1.529374,47.330887,370.0383,318.795319,4,260,0.612143,0.79839,5.262499,0.444693,257,3.191666,0.588906,2.852357,0.253631,921,0.64729,3.350509,3.465177,0.157542,288,5.003108,0.423611,1.146995,0.144134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.363176,53.253555,43.48986,,,,,,,54.681681,45.298031,,,,,,,38.436346,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001098,0.001098,0.001101,3.444725,3.389895,2.302481,2.638085,,,,,,,0.054831,1.142244,0.80664,,,,,,,1.087413,0.751809,,,,,,,0.335604,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.896103,-0.400976,0.190311,48.10281,0.376344,2.809938,2.809938
2,0,0.0,0.0,324.0,312.0,4,260,0.612143,0.79839,5.262499,0.755299,288,5.003108,0.423611,1.146995,0.231214,391,2.874435,0.653539,3.711879,0.011561,755,0.744976,3.473729,3.838328,0.001927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.48986,33.124695,36.733752,,,,,,,58.662727,,,,,,,,41.564221,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002433,0.002568,0.002677,3.444725,2.638085,3.42137,2.629798,,,,,,,0.80664,0.023355,0.814927,,,,,,,0.783285,,,,,,,,0.791572,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.664016,0.745869,-0.052546,-227.991007,0.727819,2.723805,-2.723805
2,4,1.7733,59.35854,384.187347,305.21582,4,260,0.612143,0.79839,5.262499,0.64128,257,3.191666,0.588906,2.852357,0.307947,921,0.64729,3.350509,3.465177,0.038631,288,5.003108,0.423611,1.146995,0.012141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.363176,53.253555,43.48986,,,,,,,54.681681,45.298031,,,,,,,38.436346,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003173,0.003195,0.003393,3.444725,3.389895,2.302481,2.638085,,,,,,,0.054831,1.142244,0.80664,,,,,,,1.087413,0.751809,,,,,,,0.335604,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.974502,0.224329,0.004747,-38.142533,0.42882,8.354325,-8.354325
2,31,0.922789,47.971981,335.682098,306.324097,4,260,0.612143,0.79839,5.262499,0.91978,257,3.191666,0.588906,2.852357,0.031868,288,5.003108,0.423611,1.146995,0.028571,921,0.64729,3.350509,3.465177,0.01978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.363176,43.48986,53.253555,,,,,,,45.298031,54.681681,,,,,,,38.436346,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001176,0.001192,0.001212,3.444725,3.389895,2.638085,2.302481,,,,,,,0.054831,0.80664,1.142244,,,,,,,0.751809,1.087413,,,,,,,0.335604,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.067953,0.967728,0.242662,-419.774509,0.88022,23.852166,-23.852166
2,49,2.823452,24.369997,445.999481,311.207916,9,286,4.753474,0.293662,1.683838,0.303345,289,0.583617,0.049955,5.168513,0.226067,393,3.674895,0.427056,3.104679,0.21684,257,3.191666,0.588906,2.852357,0.17301,540,3.38559,3.765373,5.859594,0.046136,260,0.612143,0.79839,5.262499,0.025375,337,3.406359,0.574217,3.628417,0.005767,125,5.702375,0.922475,0.716409,0.002307,288,5.003108,0.423611,1.146995,0.001153,,,,,,43.554355,31.508081,40.863344,49.473177,54.654606,,45.182092,19.478905,,41.223331,39.609155,,43.422117,,56.878361,,,41.936543,18.322525,39.990435,19.854846,,50.271209,,40.540449,54.363176,,,45.298031,,,5.452094,,55.800525,,,59.642781,43.48986,,,51.271982,,,,,0.003001,0.003082,0.003159,2.546678,2.440328,2.806577,3.389895,3.380761,3.444725,3.234572,2.957013,2.638085,,0.106349,0.259899,0.843217,0.834083,0.898048,,0.410335,0.091408,,0.366248,0.949566,,1.004397,,0.516684,,,0.583318,0.574184,0.638149,0.427995,,0.168491,,0.009134,0.054831,,,0.751809,,,0.146189,,0.742676,,,0.487713,0.80664,,,0.596487,,,,,0.975404,-0.096436,-0.19821,81.385862,1.369627,0.461528,0.461528
3,0,0.0,0.0,300.0,300.0,5,260,0.612143,0.79839,5.262499,0.763006,391,2.874435,0.653539,3.711879,0.148362,394,1.624092,0.189887,4.091087,0.071291,288,5.003108,0.423611,1.146995,0.015414,755,0.744976,3.473729,3.838328,0.001927,,,,,,,,,,,,,,,,,,,,,,,,,,33.124695,42.724232,43.48986,36.733752,,,,,,55.541448,58.662727,41.564221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005999,0.005999,0.006019,3.444725,3.42137,2.386477,2.638085,2.629798,,,,,,0.023355,1.058248,0.80664,0.814927,,,,,,1.034893,0.783285,0.791572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.396729,-0.878224,0.267075,174.003805,0.549069,9.340893,-9.340893
3,35,2.26465,71.727661,431.665558,305.936462,6,260,0.612143,0.79839,5.262499,0.736264,289,0.583617,0.049955,5.168513,0.096703,257,3.191666,0.588906,2.852357,0.089011,125,5.702375,0.922475,0.716409,0.054945,393,3.674895,0.427056,3.104679,0.021978,635,2.442239,2.227738,5.49866,0.001099,,,,,,,,,,,,,,,,,,,,,43.422117,54.363176,59.642781,39.990435,54.744451,,,,,39.609155,56.878361,41.223331,58.963072,,,,,,41.936543,,,,,,,5.422207,,,,,,,,,,,,,,,,,,,,0.002061,0.002073,0.002368,3.444725,2.440328,3.389895,2.957013,2.806577,2.719455,,,,,1.004397,0.054831,0.487713,0.638149,0.72527,,,,,0.949566,0.516684,0.366248,0.279127,,,,,,0.583318,,,,,,,0.237558,,,,,,,,,,,,,,,,,,,,0.197234,-0.96743,0.158678,372.48745,1.084729,17.573752,17.573752
3,47,1.501119,83.642807,366.162537,317.355865,3,260,0.612143,0.79839,5.262499,0.927152,921,0.64729,3.350509,3.465177,0.068433,257,3.191666,0.588906,2.852357,0.004415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.253555,54.363176,,,,,,,,54.681681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001726,0.001791,0.001833,3.444725,2.302481,3.389895,,,,,,,,1.142244,0.054831,,,,,,,,1.087413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.691935,-0.050696,-0.720178,212.736945,0.938681,23.496637,23.496637
